book_id,title,author,isbn,quantity
"1",The secret of the whispering pines,Laura L. Adams,978-0123456789,"13"
"2",Galactic odyssey,Dr. Alex S. Chen,978-1234567890,"8"
"3",Beneath a sapphire sky,Emily R. Brooks,978-2345678901,"22"
"4",The last alchemist's dream,Prof. Samuel T. Lee,978-3456789012,"5"
"5",Echoes in the fog,Sarah J. Miller,978-4567890123,"18"
"6",Chronicles of eldoria,David W. Garcia,978-5678901234,"12"
"7",A culinary journey through time,Chef Antoine Dubois,978-6789012345,"30"
"8",The quantum paradox,Dr. Isabella M. Rossi,978-7890123456,"7"
"9",Whispers of the ancient forest,Maya K. Singh,978-8901234567,"25"
"10",Steel and shadow,Captain John F. Black,978-9012345678,"10"
"11",The infinite loop,Dr. Evelyn P. White,978-0987654321,"9"
"12",Gardens of serenity,Eleanor H. Green,978-1098765432,"28"
"13",The clockwork heart,Victor L. Sterling,978-2109876543,"14"
"14",Starlight and sorcery,Seraphina N. Gold,978-3210987654,"19"
"15",The silicon soul,Prof. Alan M. Turing,978-4321098765,"6"
"16",Beyond the horizon,Captain Amelia R. Earhart,978-5432109876,"11"
"17",The art of silence,Sensei Kenji Tanaka,978-6543210987,"20"
"18",Crimson tide rising,Commander Elena Petrova,978-7654321098,"13"
"19",The emerald eye,Fiona C. MacDonald,978-8765432109,"24"
"20",Secrets of the sunken city,Dr. Ben Carter,978-9876543210,"4"
"21",The dream weaver's loom,Luna S. Moon,978-0011223344,"17"
"22",Celestial harmonies,Maestro Leo F. Symphony,978-1122334455,"21"
"23",The forgotten atlas,Cartographer Isla J. Mapleton,978-2233445566,"9"
"24",Whispers of the wild,Zoologist Dr. Liam O'Connell,978-3344556677,"26"
"25",The glimmering caves,Geologist Dr. Clara Stone,978-4455667788,"8"
"26",The song of the siren,Marina D. Azure,978-5566778899,"23"
"27",Code of the cybernetic samurai,Hacker Zero,978-6677889900,"10"
"28",A taste of moonlight,Baker Penelope W. Tart,978-7788990011,"29"
"29",The dragon's breath,Knight Sir Reginald,978-8899001122,"16"
"30",Echoes from the stars,Astronomer Dr. Stella Nova,978-9900112233,"6"
"31",The emerald forest,Botanist Dr. Willow Bloom,978-0101010101,"27"
"32",The last stand of the gryphon,Warrior Kaelen,978-1010101010,"12"
"33",Beneath the shifting sands,Archaeologist Dr. Omar Al-Fayeed,978-2020202020,"11"
"34",The inventor's paradox,Engineer Dr. Cyrus Gear,978-3030303030,"7"
"35",Whispers of the frost giants,Explorer Freya Nord,978-4040404040,"18"
"36",The chef's secret ingredient,Chef Pierre Dubois,978-5050505050,"30"
"37",The architect of dreams,Dream Weaver A. Vision,978-6060606060,"15"
"38",Beyond the veil of shadows,Sorceress Lilith,978-7070707070,"9"
"39",The quantum garden,Physicist Dr. Neo Quantum,978-8080808080,"22"
"40",Chronicles of the celestial empire,Emperor Hiroki,978-9090909090,"5"
"41",The whisperwind prophecy,Oracle Elara,978-0112233445,"20"
"42",Steel heart,Tin Man,978-1223344556,"13"
"43",The cartographer's enigma,Explorer Marco Polo,978-2334455667,"25"
"44",Echoes of the deep,Oceanographer Dr. Coral Reef,978-3445566778,"8"
"45",The alchemist's apprentice,Apprentice Alchemist,978-4556677889,"19"
"46",Starlight serenade,Bard Lyra,978-5667788990,"28"
"47",The digital demon,Cybersecurity Expert Agent X,978-6778899001,"10"
"48",A pinch of magic,Witch Hazel,978-7889900112,"24"
"49",The gladiator's oath,Gladiator Maximus,978-8990011223,"14"
"50",Whispers of the wind,Nature Spirit Zephyr,978-9001122334,"26"
